cluster;descripcion
0;Las emisiones descienden y la contaminación acumulada en la atmósfera se estanca, logrando paralizar el aumento de temperatura media anual del planeta, hundiéndose la economía global. Destaca la influencia en la economía de los impactos climáticos.  La hipótesis H2 (seguramente no has elegido la opción a) ha sido clave en el escenario, influyendo fuertemente a la economía a través de los impactos climáticos. Otra variable de interés en la explicación del patrón T-PIBpc es la meta M1, limitando el máximo PIBpc a 5000 o 7000 dólares por persona y año.
1;Las emisiones descienden y la contaminación acumulada en la atmósfera se estanca, logrando paralizar el aumento de temperatura media anual del planeta. Sin embargo, la economía decrece notablemente hasta situarse en valores inferiores al año 1995. La estrategia seguida en la transición energética (valorar M4, M5,M6,M7) debe repasarse, ya que puede sacarse un mejor partido a las opciones tecnológicas. 
2;Las emisiones descienden y la contaminación acumulada en la atmósfera se estanca, logrando paralizar el aumento de temperatura media anual del planeta. Sin embargo, la economía decrece hasta situarse en valores próximos a los iniciales. Un cierto control poblacional ha permitido llevar una continuidad en la economía. La planificación de la transición ha sido moderadamente buena, aunque mejorable.
3;Este escenario es aceptable, aunque admite margen de mejora. Las emisiones descienden y la contaminación acumulada en la atmósfera se estanca, logrando paralizar el aumento de temperatura media anual del planeta. La economía no crece, pero se sitúa en niveles superiores al año 1995. El duro control poblacional (ha permitido llevar una continuidad en la economía. La planificación de la transición ha sido moderadamente buena, mejorando la eficiencia energética y/o estimulando renovables.
4;Este escenario es muy bueno. Las emisiones descienden y la contaminación acumulada en la atmósfera se estanca, logrando paralizar el aumento de temperatura media anual del planeta, además, la economía crece ligeramente. El estricto control poblacional ha permitido llevar una continuidad en la economía. La planificación de la transición ha sido moderadamente buena, apostando por una fuerte mejora de la eficiencia energética, acompañada de algún estímulo a las renovables.
10;Este escenario está bastante mal planteado, ya que la economía cae al colapso, aunque la temperatura logra estabilizarse en los últimos años. Se recomienda repasar la coherencia en las metas M4 y M7. Seguramente se haya escogido la opción c en la meta M9, lo que pone en una situación más exigente a la humanidad.
11;Este escenario está bastante mal planteado, ya que la economía cae a valores inferiores a los iniciales, aunque la temperatura logra estabilizarse en los últimos años.
12;Este escenario es mejorable, pues la economía cae a niveles similares a los iniciales. Se necesita mayor ambición en las energías renovables y en la eficiencia energética
13;Este escenario es aceptable, aunque no óptimo. La temperatura logra estabilizarse en los últimos años, con valores que no suponen un riesgo de extinción. Por otro lado, el PIB se ha mantenido constante, con valores similares a 1995. Puede que falte algo de ambición en las energías renovables y en la eficiencia energética.
14;El escenario es bastante bueno. La temperatura consigue estabilizarse en los últimos años, con valores que no suponen un riesgo de extinción. Además, el fuerte control poblacional permite que la economía crezca, finalizando en valores superiores a 1995.
15;El escenario es bastante bueno, pues la temperatura consigue estabilizarse en los últimos años, con valores que no suponen un riesgo de extinción y el PIB mundial crece. Este escenario suele estar ligado a políticas de crecimiento “verde”, es decir, una economía basada en el crecimiento rápido, fomentando el uso de las renovables. Se ha intentado un desacople entre el lado energético y económico. El decremento de la economía tras ciertos años se debe a la escasez de combustibles fósiles. Se ha supuesto que no hay efectos del cambio climático en la economía.
16;Escenario ideal e irreal, donde la disponibilidad de recursos es infinita y no se producen impactos en la economía por el cambio climático.  Bajo este escenario ideal, la economía crece a placer del modelador, y las emisiones de esta solo pueden verse afectadas por la mejora en la eficiencia energética o por la sustitución de energías fósiles por otras neutras.
21;Este escenario está bastante mal planteado, ya que la economía cae al colapso mientras que la temperatura sigue creciendo. Se recomienda repasar la coherencia en las metas M4 y M7. La elección de c en M9 pone a la humanidad en una situación muy exigente.
22;Este escenario está bastante mal planteado, ya que la economía cae a valores inferiores a 1995 mientras que la temperatura sigue creciendo. Se recomienda repasar la coherencia en las metas M4 y M7. La elección de c en M9 pone a la humanidad en una situación muy exigente.
23;Este escenario admite un gran margen de mejora, pues, aunque la economía se mantiene en valores superiores a 1995, la temperatura no logra estabilizarse. Muestra cómo se puede amortiguar la caída de la economía, planificándola bien. Para mejorar el clima se recomienda una mayor ambición en el desarrollo de renovables y en materia de eficiencia energética. También se debe repasar el esfuerzo de emisiones exigido a la humanidad.
24;Este escenario admite un gran margen de mejora, pues, aunque la economía se mantiene en valores superiores a 1995, la temperatura no logra estabilizarse. Está asociado a un escenario de rápido crecimiento de la economía suponiendo que el cambio climático no tiene impacto sobre está. Para mejorar el clima se recomienda una mayor ambición en el desarrollo de renovables y en materia de eficiencia energética.
25;Este escenario admite un gran margen de mejora, pues, aunque la economía se mantiene en valores muy superiores a 1995, la temperatura no logra estabilizarse. Está asociado a un escenario de rápido crecimiento de la economía suponiendo que el cambio climático no tiene impacto sobre está, unido a un fuerte control poblacional que posibilita el notable el crecimiento. Como se ha supuesto que los recursos fósiles son limitados, llegado a un cierto año la escasez de combustibles fósiles producen una recesión en la economía.
26;Se han escogido recursos ilimitados y ningún impacto del cambio climático en la economía. Aunque económicamente es muy prometedor, el escenario es preocupante, porque la temperatura no logra estabilizarse. Bajo este escenario ideal, la economía crece a placer del modelador, y las emisiones de esta solo pueden verse afectadas por la mejora en la eficiencia energética o sustitución de energías fósiles por otras neutras.
27;Este escenario tan peculiar e irreal es fruto de escoger una disponibilidad energética ilimitada con nulos impactos climáticos sobre la economía. La única hipótesis limitante es la población.  Bajo este escenario ideal, la economía crece a placer del modelador, y las emisiones de esta solo pueden verse afectadas por la mejora en la eficiencia energética o sustitución de energías fósiles por otras neutras.
33;Este tipo de escenarios son indeseables. Podemos considerar que la humanidad está en peligro de extinción, dado el vertiginoso aumento de temperatura. La economía se mantiene de forma casi constante. Hemos de considerar que se ha supuesto un escenario ideal, al disponer de recursos ilimitados e impactos climáticos nulos sobre la economía, por lo que podemos continuar consumiendo combustibles fósiles para cubrir más o menos parte de la energía demandada por la economía. Esto produce continuas emisiones de gases de efecto invernadero, traduciéndose en el grave aumento de temperatura. Podríamos mejorar la tendencia climática repensando M9 y mejorando la eficiencia energética (M7).
34;Este tipo de escenarios son indeseables. Podemos considerar que la humanidad está en peligro de extinción, dado el vertiginoso aumento de temperatura. La economía se mantiene de forma casi constante. Hemos de considerar que se ha supuesto un escenario ideal, al disponer de recursos ilimitados e impactos climáticos nulos sobre la economía, por lo que podemos continuar consumiendo combustibles fósiles para cubrir más o menos parte de la energía demandada por la economía. Esto produce continuas emisiones de gases de efecto invernadero, traduciéndose en el grave aumento de temperatura. Podríamos mejorar la tendencia climática repensando M9 y mejorando la eficiencia energética (M7).
36;Se ha supuesto un escenario ideal e irreal, al disponer de recursos ilimitados (H1-c), nulos impactos climáticos (H2-a) para que la economía trate de crecer según la tendencia histórica (M1-b). Se consumen combustibles fósiles para cubrir la demanda energética, lo que permite el crecimiento económico a costa de aumentar las emisiones de gases,  que se traducen en un grave aumento de la temperatura. La humanidad está en peligro de extinción, por la evolución y estabilización de la temperatura.
37;Se ha supuesto un escenario ideal e irreal, al disponer de recursos ilimitados (H1-c), nulos impactos climáticos (H2-a) para que la economía trate de crecer por encima de la tendencia histórica (M1-c). Se consumen combustibles fósiles para cubrir la demanda energética, lo que permite el crecimiento económico a costa de aumentar las emisiones de gases,  que se traducen en un grave aumento de la temperatura. La evolución de la temperatura pone a la humanidad en peligro de extinción.
46;Se ha supuesto un escenario ideal e irreal, al disponer de recursos ilimitados (H1-c), nulos impactos climáticos (H2-a) para que la economía trate de crecer según la tendencia histórica (M1-b). Se consumen combustibles fósiles para cubrir la demanda energética, lo que permite el crecimiento económico a costa de aumentar las emisiones de gases,  que se traducen en un grave aumento de la temperatura. Este escenario es totalmente indeseable, pues los valores de temperatura hacen inevitable el planeta (para muchas especies, incluido el ser humano) antes de que acabe el presente siglo.
47;Se ha supuesto un escenario ideal e irreal, al disponer de recursos ilimitados (H1-c), nulos impactos climáticos (H2-a) para que la economía trate de crecer por encima de la tendencia histórica (M1-c). Se consumen combustibles fósiles para cubrir la demanda energética, lo que permite el crecimiento económico a costa de aumentar las emisiones de gases,  que se traducen en un grave aumento de la temperatura. La humanidad está en peligro de extinción. Este escenario es totalmente indeseable, pues los valores de temperatura hacen inevitable el planeta (para muchas especies, incluido el ser humano) antes de que acabe el presente siglo.
57;Se ha supuesto un escenario ideal e irreal, al disponer de recursos ilimitados (H1-c), nulos impactos climáticos (H2-a) para que la economía trate de crecer por encima de la tendencia histórica (M1-c). Se consumen combustibles fósiles para cubrir la demanda energética, lo que permite el crecimiento económico a costa de aumentar las emisiones de gases,  que se traducen en un grave aumento de la temperatura. La humanidad está en peligro de extinción. Este escenario es totalmente indeseable, pues los valores de temperatura hacen inhabitable el planeta (para muchas especies, incluido el ser humano) antes de que acabe el presente siglo.






